iter	Passed	Remaining
222	591	2060
223	592	2053
224	594	2046
225	595	2039
226	596	2031
227	597	2024
228	599	2017
229	600	2010
230	602	2004
231	603	1999
232	605	1992
233	606	1985
234	609	1983
235	610	1976
236	611	1969
237	613	1963
238	614	1956
239	615	1950
240	617	1944
241	619	1938
242	620	1932
243	621	1926
244	624	1923
245	625	1917
246	626	1911
247	628	1905
248	629	1898
249	630	1892
250	632	1886
251	634	1881
252	635	1876
253	636	1869
254	637	1863
255	640	1861
256	641	1855
257	643	1849
258	644	1843
259	645	1837
260	646	1831
261	648	1826
262	650	1821
263	651	1816
264	652	1810
265	655	1808
266	656	1802
267	658	1797
268	659	1792
269	660	1786
270	662	1781
271	663	1776
272	665	1773
273	667	1768
274	668	1762
275	671	1760
276	672	1755
277	674	1750
278	675	1745
279	676	1740
280	678	1734
281	679	1730
282	681	1725
283	682	1720
284	683	1715
285	686	1714
286	687	1708
287	689	1703
288	690	1698
289	691	1693
290	693	1689
291	694	1684
292	696	1680
293	697	1676
294	699	1671
295	701	1668
296	702	1663
297	704	1659
298	705	1654
299	706	1649
300	708	1644
301	709	1640
302	711	1636
303	712	1632
304	714	1627
305	720	1633
306	721	1628
307	722	1623
308	723	1618
309	725	1614
310	727	1611
311	728	1606
312	729	1602
313	733	1601
314	735	1599
315	736	1594
316	737	1589
317	739	1585
318	740	1580
319	742	1576
320	743	1572
321	744	1568
322	747	1567
323	750	1566
324	751	1561
325	753	1557
326	754	1553
327	756	1549
328	758	1546
329	759	1542
330	763	1542
331	765	1540
332	766	1535
333	768	1531
334	769	1527
335	770	1523
336	772	1519
337	773	1515
338	775	1511
339	778	1510
340	780	1508
341	782	1504
342	783	1500
343	784	1496
344	786	1492
345	787	1488
346	789	1485
347	790	1481
348	793	1479
349	796	1479
350	798	1475
351	799	1471
352	800	1467
353	801	1463
354	803	1459
355	805	1456
356	808	1455
357	809	1452
358	813	1451
359	814	1448
360	815	1443
361	816	1439
362	818	1436
363	820	1433
364	821	1429
365	823	1425
366	825	1424
367	826	1420
368	828	1416
369	829	1412
370	831	1408
371	832	1404
372	833	1401
373	835	1398
374	836	1394
375	838	1390
376	841	1390
377	843	1387
378	844	1383
379	845	1380
380	847	1376
381	848	1372
382	849	1369
383	851	1366
384	852	1362
385	856	1362
386	858	1359
387	859	1356
388	861	1352
389	862	1349
390	864	1345
391	865	1342
392	867	1339
393	868	1336
394	872	1335
395	873	1333
396	875	1329
397	876	1325
398	877	1322
399	879	1318
400	880	1315
401	882	1312
402	883	1308
403	885	1307
404	889	1306
405	890	1302
406	891	1299
407	893	1295
408	894	1292
409	895	1289
410	897	1286
411	898	1282
412	900	1279
413	902	1276
414	904	1275
415	905	1271
416	907	1268
417	908	1264
418	909	1261
419	911	1258
420	912	1255
421	914	1252
422	917	1250
423	919	1249
424	921	1246
425	922	1243
426	924	1240
427	926	1237
428	927	1234
429	928	1231
430	930	1228
431	934	1228
432	935	1225
433	937	1222
434	938	1219
435	939	1215
436	941	1212
437	942	1209
438	944	1207
439	946	1204
440	948	1202
441	950	1199
442	951	1196
443	953	1193
444	954	1190
445	955	1187
446	957	1184
447	959	1181
448	960	1178
449	962	1176
450	965	1174
451	966	1171
452	967	1168
453	969	1165
454	970	1162
455	972	1159
456	973	1156
457	976	1155
458	982	1157
459	985	1156
460	986	1153
461	989	1151
462	991	1150
463	993	1147
464	994	1144
465	996	1141
466	997	1138
467	999	1135
468	1000	1132
469	1001	1129
470	1003	1127
471	1005	1125
472	1008	1124
473	1010	1121
474	1011	1118
475	1013	1115
476	1014	1112
477	1016	1109
478	1017	1106
479	1019	1104
480	1022	1103
481	1024	1100
482	1025	1097
483	1026	1094
484	1028	1091
485	1029	1088
486	1030	1085
487	1032	1083
488	1033	1080
489	1036	1078
490	1038	1076
491	1040	1073
492	1041	1071
493	1042	1068
494	1044	1065
495	1045	1062
496	1047	1059
497	1048	1056
498	1050	1054
499	1053	1053
500	1055	1050
501	1056	1047
502	1059	1046
503	1062	1045
504	1063	1042
505	1067	1041
506	1071	1041
507	1073	1039
508	1076	1038
509	1079	1037
510	1084	1037
511	1087	1036
512	1089	1034
513	1090	1031
514	1092	1029
515	1096	1028
516	1099	1027
517	1101	1025
518	1110	1029
519	1112	1027
520	1118	1027
521	1123	1028
522	1125	1026
523	1127	1024
524	1130	1022
525	1136	1023
526	1138	1021
527	1140	1019
528	1142	1017
529	1145	1015
530	1149	1015
531	1153	1015
532	1156	1012
533	1170	1021
534	1173	1020
535	1175	1017
536	1188	1024
537	1197	1028
538	1201	1028
539	1204	1025
540	1205	1022
541	1207	1020
542	1210	1018
543	1212	1016
544	1215	1014
545	1217	1012
546	1219	1009
547	1220	1007
548	1223	1005
549	1225	1002
550	1228	1001
551	1233	1001
552	1235	998
553	1236	995
554	1238	992
555	1240	990
556	1241	987
557	1243	984
558	1247	984
559	1249	981
560	1250	978
561	1251	975
562	1253	972
563	1255	970
564	1256	967
565	1264	969
566	1266	966
567	1267	964
568	1271	963
569	1274	961
570	1275	958
571	1279	957
572	1281	954
573	1283	952
574	1286	951
575	1288	948
576	1290	946
577	1292	943
578	1294	941
579	1296	938
580	1297	935
581	1299	933
582	1301	930
583	1305	930
584	1309	928
585	1311	926
586	1312	923
587	1314	920
588	1315	917
589	1317	915
590	1318	912
591	1320	909
592	1321	907
593	1325	905
594	1326	903
595	1327	900
596	1329	897
597	1330	894
598	1332	892
599	1334	889
600	1335	886
601	1337	884
602	1341	882
603	1342	880
604	1345	878
605	1347	875
606	1348	873
607	1350	870
608	1352	868
609	1356	867
610	1357	864
611	1358	861
612	1359	858
613	1361	855
614	1362	852
615	1364	850
616	1365	847
617	1367	845
618	1371	844
619	1373	841
620	1375	839
621	1377	836
622	1378	834
623	1380	831
624	1381	828
625	1383	826
626	1387	825
627	1388	822
628	1390	820
629	1391	817
630	1393	814
631	1394	812
632	1396	809
633	1398	807
634	1402	806
635	1404	803
636	1405	800
637	1406	798
638	1408	795
639	1409	793
640	1411	790
641	1412	787
642	1415	785
643	1418	784
644	1419	781
645	1421	778
646	1422	776
647	1424	773
648	1425	771
649	1427	768
650	1429	766
651	1431	764
652	1435	762
653	1436	759
654	1437	757
655	1439	754
656	1440	752
657	1442	749
658	1443	747
659	1445	744
660	1450	743
661	1451	741
662	1454	739
663	1456	736
664	1458	734
665	1459	731
666	1461	729
667	1465	728
668	1466	725
669	1467	722
670	1468	720
671	1470	717
672	1471	715
673	1472	712
674	1474	709
675	1475	707
676	1477	705
677	1481	703
678	1482	700
679	1484	698
680	1485	695
681	1486	693
682	1488	690
683	1489	688
684	1491	685
685	1493	683
686	1496	681
687	1498	679
688	1499	676
689	1500	674
690	1502	671
691	1503	669
692	1505	666
693	1507	664
694	1508	662
695	1512	660
696	1513	658
697	1515	655
698	1516	652
699	1517	650
700	1519	647
701	1520	645
702	1522	643
703	1524	640
704	1526	638
705	1528	636
706	1530	634
707	1531	631
708	1532	629
709	1534	626
710	1535	624
711	1537	621
712	1539	619
713	1542	617
714	1543	615
715	1545	612
716	1546	610
717	1548	608
718	1549	605
719	1551	603
720	1552	600
721	1554	598
722	1557	596
723	1558	594
724	1560	591
725	1561	589
726	1562	586
727	1564	584
728	1566	582
729	1567	579
730	1569	577
731	1571	575
732	1573	573
733	1574	570
734	1576	568
735	1577	565
736	1578	563
737	1580	560
738	1581	558
739	1583	556
740	1585	554
741	1588	552
742	1589	549
743	1591	547
744	1592	545
745	1593	542
746	1594	540
747	1596	537
748	1598	535
749	1599	533
750	1603	531
751	1605	529
752	1606	526
753	1607	524
754	1609	522
755	1610	519
756	1612	517
757	1613	515
758	1615	512
759	1616	510
760	1619	508
761	1620	506
762	1622	503
763	1624	501
764	1626	499
765	1627	497
766	1629	494
767	1630	492
768	1632	490
769	1636	488
770	1637	486
771	1638	484
772	1640	481
773	1641	479
774	1643	477
775	1644	474
776	1646	472
777	1648	470
778	1651	468
779	1652	466
780	1653	463
781	1655	461
782	1656	459
783	1657	456
784	1659	454
785	1661	452
786	1663	450
787	1666	448
788	1667	445
789	1668	443
790	1669	441
791	1671	438
792	1672	436
793	1673	434
794	1675	432
795	1676	429
796	1678	427
797	1680	425
798	1682	423
799	1683	420
800	1684	418
801	1686	416
802	1687	413
803	1688	411
804	1690	409
805	1691	407
806	1693	404
807	1694	402
808	1697	400
809	1698	398
810	1699	396
811	1701	393
812	1702	391
813	1703	389
814	1705	387
815	1706	384
816	1708	382
817	1709	380
818	1711	378
819	1713	376
820	1714	373
821	1715	371
822	1717	369
823	1718	367
824	1719	364
825	1721	362
826	1722	360
827	1724	358
828	1725	355
829	1728	353
830	1729	351
831	1730	349
832	1731	347
833	1733	344
834	1734	342
835	1736	340
836	1737	338
837	1739	336
838	1740	334
839	1743	332
840	1744	329
841	1746	327
842	1747	325
843	1748	323
844	1749	320
845	1752	319
846	1753	316
847	1755	314
848	1756	312
849	1759	310
850	1760	308
851	1761	306
852	1763	303
853	1764	301
854	1765	299
855	1767	297
856	1768	295
857	1770	292
858	1771	290
859	1774	288
860	1775	286
861	1776	284
862	1778	282
863	1779	280
864	1780	277
865	1782	275
866	1783	273
867	1785	271
868	1786	269
869	1789	267
870	1790	265
871	1792	263
872	1793	260
873	1794	258
874	1796	256
875	1797	254
876	1798	252
877	1800	250
878	1801	248
879	1802	245
880	1805	243
881	1806	241
882	1808	239
883	1809	237
884	1810	235
885	1812	233
886	1813	231
887	1815	228
888	1816	226
889	1818	224
890	1820	222
891	1822	220
892	1823	218
893	1824	216
894	1825	214
895	1827	212
896	1828	209
897	1830	207
898	1831	205
899	1832	203
900	1834	201
901	1836	199
902	1837	197
903	1839	195
904	1841	193
905	1842	191
906	1844	189
907	1845	187
908	1847	184
909	1848	182
910	1849	180
911	1852	178
912	1854	176
913	1855	174
914	1856	172
915	1857	170
916	1859	168
917	1860	166
918	1862	164
919	1863	162
920	1865	159
921	1867	157
922	1868	155
923	1870	153
924	1871	151
925	1872	149
926	1874	147
927	1875	145
928	1877	143
929	1878	141
930	1880	139
931	1882	137
932	1883	135
933	1885	133
934	1886	131
935	1887	129
936	1889	127
937	1890	124
938	1892	122
939	1893	120
940	1895	118
941	1899	116
942	1902	114
943	1903	112
944	1904	110
945	1906	108
946	1908	106
947	1909	104
948	1911	102
949	1912	100
950	1914	98
951	1916	96
952	1917	94
953	1918	92
954	1920	90
955	1921	88
956	1922	86
957	1924	84
958	1925	82
959	1927	80
960	1929	78
961	1931	76
962	1932	74
963	1933	72
964	1934	70
965	1936	68
966	1937	66
967	1939	64
968	1941	62
969	1942	60
970	1944	58
971	1945	56
972	1947	54
973	1948	52
974	1949	49
975	1951	47
976	1952	45
977	1954	43
978	1955	41
979	1956	39
980	1958	37
981	1960	35
982	1961	33
983	1963	31
984	1964	29
985	1965	27
986	1967	25
987	1968	23
988	1970	21
989	1971	19
990	1973	17
991	1974	15
992	1976	13
993	1977	11
994	1979	9
995	1980	7
996	1981	5
997	1983	3
998	1984	1
999	1986	0
